page_title,users_reverted_past_1_week
RRR (film),19
Beast (2022 film),15
George Alencherry,13
Wagher,11
Ram Charan,10
Aaraattu (2021 film),10
Mer (community),10
Kotak Mahindra Bank,9
Bajaj Auto,9
Bajaj Finserv,9
