page_title,change_from_last_week
George Alencherry,13
Wagher,10
Mer (community),9
Bajaj Finserv,9
Serum Institute of India,9
Kotak Mahindra Bank,8
Bajaj Auto,8
Titan Company,8
Sanjay Ghodawat University,8
Mahesh Babu,7
