page_title,users_reverted_past_1_week
Aurangabad,34
Ek Villain Returns,20
777 Charlie,19
2022 monkeypox outbreak,13
Osmanabad,13
Bhool Bhulaiyaa 2,12
Syro-Malabar Church,10
2022–23 Indian Super League season,10
Chennai International Airport,9
Surender Sharma,9
