page_title,change_from_last_week
2022 Gujarat Legislative Assembly election,11
Telangana Rashtra Samithi,9
Communist Party of India,4
Kodiyeri Balakrishnan,4
Vivek Agnihotri,3
2022 Himachal Pradesh Legislative Assembly election,3
Ambedkar Makkal Iyakkam,3
Next Jammu and Kashmir Legislative Assembly election,3
Mulayam Singh Yadav,3
Venkatesh Desai,3
