page_title,users_reverted_past_1_week
Drishyam 2 (2022 film),28
Vikram Gokhale,18
Suryakumar Yadav,13
Bigg Boss (Tamil season 6),10
Hanu Man,10
Beast (2022 Indian film),9
Vijay (actor),9
Varisu,8
Daman (2022 film),8
India national cricket team,7
