page_title,users_reverted_past_1_week
The Great Gama,40
Prashanth Neel,21
Sarkaru Vaari Paata,17
Dhaakad,16
Konaseema district,13
Kazi Nazrul Islam,13
Kaathuvaakula Rendu Kaadhal,11
Alha,11
Pushpa: The Rise,10
Salaar,10
