page_title,change_from_last_week
72 Hoorain,6
K. Kamaraj,5
2023 West Bengal Panchayat elections,4
Ashok Gehlot,4
Next West Bengal Legislative Assembly election,4
Indian National Congress,2
Hindu Mahasabha,2
Noakhali riots,2
Siddaramaiah,2
Varanasi (Lok Sabha constituency),2
