page_title,users_reverted_past_1_week
Vijay Rupani,23
Vice President of India,8
2025 Bihar Legislative Assembly election,8
Next West Bengal Legislative Assembly election,6
Sarvepalli Radhakrishnan,6
Next Assam Legislative Assembly election,5
List of lieutenant governors of Delhi,4
C. Rajagopalachari,3
Speaker of the Lok Sabha,3
Indian National Developmental Inclusive Alliance,3
