page_title,users_reverted_past_1_week
Next Indian general election,8
Samajwadi Party,4
Indian National Developmental Inclusive Alliance,3
Gurjara-Pratihara dynasty,3
2020 Delhi riots,3
Direct Action Day,3
Suresh Kalmadi,3
Rahul Gandhi,2
Lalu Prasad Yadav,2
Ram Janmabhoomi,2
