page_title,users_reverted_past_1_week
Kabzaa (2023 film),17
Leo (2023 Indian film),15
ATK Mohun Bagan FC,13
Mrs Chatterjee Vs Norway,10
2023 Women's Premier League (cricket),9
Tu Jhoothi Main Makkaar,8
Biryani,8
Mohun Bagan AC,7
Sati Sadhani,7
Rajat Sharma,7
