page_title,users_reverted_past_1_week
Draupadi Murmu,49
All India Anna Dravida Munnetra Kazhagam,17
Eknath Shinde,9
Muhammad Iqbal,7
Mamata Banerjee,7
President of India,7
2022 Indian presidential election,6
2022 Indian vice presidential election,6
Siddaramaiah,5
2022 Maharashtra political crisis,5
