page_title,users_reverted_past_1_week
2023 Indian Premier League,23
Leo (2023 Indian film),16
Hanuman Jayanti,13
Physics Wallah,13
Dasara (film),12
2015 Indian swine flu outbreak,12
Radha Saluja,10
Vande Bharat Express,7
YRF Spy Universe,7
Arijit Singh,6
