page_title,change_from_last_week
Siddaramaiah,7
Lok Sabha,6
2022 Gujarat Legislative Assembly election,4
"Ministry of Ports, Shipping and Waterways",4
Sarojini Naidu,3
2022 Indian vice presidential election,3
Bhagat Singh Koshyari,3
Chetan Singh Jormajra,3
Agnipath Scheme,3
Sidhu Moose Wala,2
