page_title,users_reverted_past_1_week
2023 Karnataka Legislative Assembly election,13
Atique Ahmed,9
Mahua Moitra,9
Satya Pal Malik,6
Sanyukta Bhatia,5
Next Indian general election,4
Raghuraj Pratap Singh,3
Raju Pal,3
Abhishek Banerjee (politician),3
S. V. Krishnan,3
