page_title,change_from_last_week
Bigg Boss Marathi season 5,28
The Greatest of All Time,25
Devara: Part 1,12
Suresh Krishna (actor),11
Aetbaar,9
Parthiv Patel,8
Chetan Sharma,7
Ravinder Kumar (historian),7
Laapataa Ladies,7
Sky Force (film),6
