page_title,users_reverted_past_1_week
Karnataka Legislative Assembly,26
2023 Karnataka Legislative Assembly election,12
Raghav Chadha,10
Basavaraj Bommai,10
Next Indian general election,8
Hindu nationalism,6
Siddaramaiah,5
Jyotiraditya Scindia,4
2023 Rajasthan Legislative Assembly election,4
Member of the Legislative Assembly (India),4
