page_title,users_reverted_past_1_week
Martin (2023 film),34
Vicky Vidya Ka Woh Wala Video,17
Baba Siddique,17
Ratan Tata,13
Jigra,11
Bhool Bhulaiyaa 3,8
Devara: Part 1,8
Battle of Burki,8
Marhatta (region),7
Kolar,7
