page_title,change_from_last_week
Mahua Moitra,6
OpIndia,4
Sharad Yadav,4
"Ministry of Micro, Small and Medium Enterprises",3
Mahatma Gandhi,3
Erode East Assembly constituency,2
Bharatiya Janata Party,2
Nehru–Gandhi family,2
Allan Octavian Hume,2
Preamble to the Constitution of India,2
