page_title,users_reverted_past_1_week
Holi,16
Runway 34,16
2022 Indian Premier League,14
Pawankhind,13
Bheeshma Parvam,13
Nivedita Menon,13
Farooq Ahmed Dar,11
James (2022 film),11
Hotstar,11
Mamangam (2019 film),10
