page_title,users_reverted_past_1_week
Lokesh Kanagaraj,11
Tehran (2025 film),9
2025 India–Pakistan conflict,9
Independence Day (India),8
Bhagavad Gita,8
Retro (film),7
Su From So,6
Kaatera,6
Sachein,6
Rajbanshi people,6
