page_title,users_reverted_past_1_week
Rajesh Gahlot,6
2026 West Bengal Legislative Assembly election,4
Rekha Gupta,3
Jammu Praja Parishad,3
1984 anti-Sikh riots,3
Pattali Makkal Katchi,3
Bangla Pokkho,2
Prashant Kishor,2
Himanta Biswa Sarma,2
Pawan Kalyan,2
