page_title,change_from_last_week
2022 Gujarat Legislative Assembly election,7
Goa Legislative Assembly,6
Krishnam Raju,6
Uniform Civil Code,5
Mizoram Legislative Assembly,5
2022 Indian Rajya Sabha elections,4
Rajya Sabha,3
Draupadi Murmu,3
"Louis Mountbatten, 1st Earl Mountbatten of Burma",3
Partition of India,3
