page_title,change_from_last_week
Parvesh Verma,14
2023–2025 Manipur violence,4
Manjinder Singh Sirsa,4
Godi media,4
Amanatullah Khan,3
Suresh Prabhu,3
New Delhi Assembly constituency,3
Affirmative action,3
Jharkhand Mukti Morcha,2
All India Anna Dravida Munnetra Kazhagam,2
