page_title,change_from_last_week
Raghav Chadha,12
2023 Karnataka Legislative Assembly election,7
2022 Gujarat Legislative Assembly election,5
Jai Shri Ram,5
Eknath Shinde,4
Raja Singh,4
Atique Ahmed,4
Napoleon (actor),3
Khalistan Referendum,3
Next Andhra Pradesh Legislative Assembly election,2
