page_title,change_from_last_week
2023 Rajouri attacks,4
Left Front (Tripura),3
Muhammad Ali Jinnah,2
2023 Tripura Legislative Assembly election,2
All-India Muslim League,2
Next Indian general election,2
Samajwadi Party,2
Preamble to the Constitution of India,2
United Bengal,2
Jai Bihari Lal Khachi,2
