page_title,users_reverted_past_1_week
2025 Asia Cup,22
2025 India–Pakistan conflict,21
Thudarum,18
HIT: The Third Case,14
DD Next Level,13
Maaman,11
Tourist Family,9
Glow & Lovely,9
Sky Force (film),8
Gujarati people,8
