page_title,users_reverted_past_1_week
Eknath Shinde,6
Maqbool Bhat,5
Deepak Vasant Kesarkar,3
Atishi Marlena,3
Uttarpara (Vidhan Sabha constituency),3
2025 Bihar Legislative Assembly election,3
Suresh Prabhu,3
Parliament of India,2
Kerala Legislative Assembly,2
Brahm Dutt Dwivedi,2
