page_title,users_reverted_past_1_week
Ashok Gehlot,8
2022 Indian National Congress presidential election,7
Sachin Pilot,5
Rinshad Reera,4
Syed Ali Shah Geelani,4
Attorney-General for India,4
2022 Gujarat Legislative Assembly election,3
Popular Front of India,3
Narmada Bachao Andolan,3
Next Bihar Legislative Assembly election,3
