page_title,users_reverted_past_1_week
Reservation in India,5
Tamilaga Vettri Kazhagam,5
Prashant Kishor,4
Indira Gandhi,4
Chiranjeevi,3
Kapil Sibal,3
Dalits in Bihar,3
Sidhu Moose Wala,2
Dharmendra,2
Botsa Satyanarayana,2
