page_title,users_reverted_past_1_week
All India Anna Dravida Munnetra Kazhagam,16
Gulab Chand Kataria,12
Shiv Sena (UBT),9
Swati Maliwal,7
Prajwal Revanna,6
Pithapuram Assembly constituency,5
Balurghat (Lok Sabha constituency),5
Left Democratic Front,5
Biju Janata Dal,4
Howrah Lok Sabha constituency,4
