page_title,users_reverted_past_1_week
2025 Indian Premier League,14
2025 India–Pakistan conflict,12
Retro (film),12
Tourist Family,9
Banu Mushtaq,9
Kannada,9
Sky Force (film),8
Shubman Gill,8
Mrunal Thakur,8
Tej Pratap Yadav,8
