page_title,users_reverted_past_1_week
Virupaksha (film),23
Vande Bharat Express,18
The Kerala Story,13
2023 Indian Premier League,10
Production of Ponniyin Selvan: I and Ponniyin Selvan: II,9
Ayalaan,9
Bagdogra Airport,9
Agent (film),8
Siddhanta Mahapatra,8
Tilak Varma,7
