page_title,change_from_last_week
Digambara,12
Sunita Williams,9
Ghanashyam Nayak,9
Star Sports (India),8
Tomb of Aurangzeb,7
"Aurangabad district, Maharashtra",6
Rashmika Mandanna,6
Dr. Y. S. Rajashekar Reddy ACA–VDCA Cricket Stadium,6
Gujarat Titans,6
Romani people,5
