page_title,users_reverted_past_1_week
Sunita Williams,12
Digambara,12
Tomb of Aurangzeb,9
Ghanashyam Nayak,9
Romani people,8
Star Sports (India),8
2025 Asia Cup,7
Taarak Mehta Ka Ooltah Chashmah,7
India,7
"Aurangabad district, Maharashtra",7
