page_title,change_from_last_week
2024 Indian Premier League,13
Salaar,8
Dunki (film),8
Madurai Nayak dynasty,7
HITEC City,6
Taaza Khabar,6
Kumar Kushagra,6
Sanju Samson,5
Tarun Majumdar,5
KL Rahul,4
