page_title,change_from_last_week
Hindavi Swarajya,9
Maharashtra Legislative Assembly,7
Janata Party,5
All India Majlis-e-Ittehadul Muslimeen,4
All India Anna Dravida Munnetra Kazhagam,4
United National Liberation Front,4
Vishwanath Pratap Singh,3
Bihar Legislative Assembly,3
Basavaraj Bommai ministry,3
Rajya Sabha,2
