page_title,change_from_last_week
Harnaaz Sandhu,42
Brahmāstra (film),13
Chandigarh Kare Aashiqui,11
Vicky Kaushal,10
Disha Patani,10
Puneeth Rajkumar,9
Naagin (2015 TV series),8
Tejasswi Prakash,7
Gyanvapi Mosque,7
Revolutionary movement for Indian independence,7
