page_title,users_reverted_past_1_week
Hindavi Swarajya,10
Maharashtra Legislative Assembly,8
All India Majlis-e-Ittehadul Muslimeen,6
Janata Party,5
Karnataka Legislative Council,4
Vishwanath Pratap Singh,4
All India Anna Dravida Munnetra Kazhagam,4
United National Liberation Front,4
2022 Goa Legislative Assembly election,3
Nandamuri Balakrishna,3
