page_title,users_reverted_past_1_month
Bipin Rawat,97
Akhanda,59
Beast (2022 film),58
Master (2021 film),51
Tadap (2021 film),51
Bigg Boss (Tamil season 5),51
Harnaaz Sandhu,44
Marakkar: Lion of the Arabian Sea,40
Satyameva Jayate 2,36
Rajiv Gandhi International Airport,35
