page_title,change_from_last_week
Gukesh D,20
Mohammed Siraj,17
Roti canai,11
Jorhat,11
Pushpa: The Rise,10
Salaar,7
Chuhra,7
Keerthy Suresh,7
Sookshmadarshini,7
Santhosh Kumaran,7
