page_title,change_from_last_week
Karthikeya 2,40
Rakesh Jhunjhunwala,19
Raksha Bandhan (film),14
Gaalipata 2,12
Krishna Janmashtami,11
Shamshera,10
Independence Day (India),9
Salaar,9
Salman Rushdie,7
Maratha Empire,6
