page_title,change_from_last_week
Mohammad Yunus (politician),6
Praful Patel,4
Ambedkar Makkal Iyakkam,4
Manish Sisodia,4
All India Anna Dravida Munnetra Kazhagam,3
Lala Lajpat Rai,3
Next Bihar Legislative Assembly election,3
Mahatma Gandhi,3
Rajesh Khanna,3
Direct Action Day,3
