page_title,users_reverted_past_1_week
Aranmanai 4,17
Heeramandi,16
Pavi Caretaker,11
Mamitha Baiju,11
"Churu, Rajasthan",11
Aavesham (2024 film),9
Indian 2,8
Waldemar Haffkine,8
Roti canai,8
India at the 2024 Summer Olympics,8
