page_title,change_from_last_week
Shefali Shah,14
Asaram,13
Battlegrounds Mobile India,10
Vande Bharat Express,9
Taarak Mehta Ka Ooltah Chashmah,6
Hindu Shahi,6
U. Rajesh,6
2023 Indian Premier League,5
Kuki people,5
Rishabhanatha,5
