page_title,change_from_last_week
2022 Morbi bridge collapse,21
Bigg Boss (Hindi season 16),16
Religion in India,9
Aadhaar,8
Beast (2022 Indian film),6
Saif Ali Khan,6
Masala dosa,6
Bigg Boss (Telugu season 6),6
Sherwani,6
"Sara Khan (actress, born 1989)",6
