page_title,users_reverted_past_1_week
Dhadak 2,13
Su From So,11
Tehran (2025 film),11
Kingdom (2025 film),9
Anderson–Tendulkar Trophy,9
Taarak Mehta Ka Ooltah Chashmah,6
Indian cricket team in England in 2025,6
Wagle Ki Duniya – Nayi Peedhi Naye Kissey,6
Narasimha,6
The Kerala Story,6
