page_title,users_reverted_past_1_week
Lal Bahadur Shastri,9
2024 Maharashtra Legislative Assembly election,7
2024 Jharkhand Legislative Assembly election,6
Bangla Pokkho,5
Revanth Reddy,4
2024 Haryana Legislative Assembly election,3
Chhatrapal Singh Gangwar,3
India–Israel relations,3
Khizar Hayat Tiwana,3
Jan Suraaj,3
