page_title,change_from_last_week
Bhool Bhulaiyaa 3,10
Taarak Mehta Ka Ooltah Chashmah,9
Stree 2,8
RRR,8
Indian 3,8
Brown Rang,7
Chalukya dynasty,7
Kill (film),7
Meiyazhagan,7
Delhi University Students Union,6
