page_title,users_reverted_past_1_week
Mohan Charan Majhi,9
Hardeep Singh Nijjar,7
2024 Indian general election,6
Indian Secular Front,6
Chirag Paswan,5
Jana Sena Party,5
Communist Party of India (Marxist),4
The Kashmir Files,4
Janata Dal (United),4
Lok Sabha,3
