page_title,change_from_last_week
Rashtriya Lok Dal,4
Arif Mohammad Khan,3
NISHAD Party,3
Devendra Fadnavis,3
Next Tamil Nadu Legislative Assembly election,3
Pawan Kalyan,2
Tamilaga Vettri Kazhagam,2
Pranab Mukherjee,2
Reservation in India,2
Krishnanand Rai,2
