page_title,change_from_last_week
Mohammed Shami,15
Vijay (actor),11
Tejasswi Prakash,10
Shyam Singha Roy,10
Bigg Boss (Tamil season 5),9
Radhe (2021 film),8
Alka Nupur,8
Athar Aamir Khan,6
Rashmika Mandanna,6
Hindu Shahi,6
