page_title,users_reverted_past_1_week
2022 Punjab Legislative Assembly election,22
Tek Fog,20
2022 Uttar Pradesh Legislative Assembly election,16
2022 Goa Legislative Assembly election,10
Uttar Pradesh Legislative Assembly,9
Swami Prasad Maurya,6
Rahul Mahajan,6
Edappadi K. Palaniswami,5
"Louis Mountbatten, 1st Earl Mountbatten of Burma",4
Exodus of Kashmiri Hindus,4
