page_title,change_from_last_week
K.G.F: Chapter 2,38
Yash (actor),15
Beast (2022 film),12
Hanuman Jayanti,11
Jamnabai Narsee School,8
Agent (film),7
Kolar Gold Fields,7
Prithvi Shaw,6
Raveena Tandon,5
Sainthwar,5
