page_title,users_reverted_past_1_week
K.G.F: Chapter 2,41
Yash (actor),25
Beast (2022 film),19
Hanuman Jayanti,12
Salaar,11
Saurashtra people,9
Acharya (2022 film),9
Jamnabai Narsee School,9
Jersey (2021 film),7
Raveena Tandon,7
