page_title,users_reverted_past_1_week
Thalapathy 68,11
Rajbhar,11
The Family Star,11
Aranmanai 4,9
Goldy Brar,8
Aavesham (2024 film),7
Bade Miyan Chote Miyan (upcoming film),7
Battle of Garibpur,7
Battle of Hilli,7
Saraswat Brahmin,7
