page_title,change_from_last_week
Amethi (Lok Sabha constituency),14
Baharampur Lok Sabha constituency,8
Prajwal Revanna,7
Tamluk (Lok Sabha constituency),5
Barmer (Lok Sabha constituency),4
Rae Bareli (Lok Sabha constituency),4
Rashtriya Lok Dal,4
2024 Andhra Pradesh Legislative Assembly election,3
Amritpal Singh Khalsa,3
Elections in Puducherry,3
