page_title,users_reverted_past_1_week
Lata Mangeshkar,99
Gurinder Singh,18
Gehraiyaan (film),16
Gangubai Kathiawadi,16
Gujarat Titans,16
Statue of Equality (Ramanuja),15
Cochin International Airport,13
Khiladi (2022 film),12
Badhaai Do,11
2022 elections in India,11
