page_title,users_reverted_past_1_week
Nayanthara,16
Brahmāstra (film),14
777 Charlie,14
2022 monkeypox outbreak,13
Ante Sundaraniki,13
Kamal Haasan,12
Unani medicine,12
Sarkaru Vaari Paata,10
Ahmed Raza Khan Barelvi,10
Shiva,8
