page_title,users_reverted_past_1_week
Indian National Developmental Inclusive Alliance,19
Oommen Chandy,7
Rajya Sabha,6
Next Indian general election,6
Archana Gautam,6
Narendra Modi,5
Maharashtra Legislative Assembly,4
Bandi Sanjay Kumar,4
United Progressive Alliance,4
Secularism in India,4
