page_title,users_reverted_past_1_week
Kanguva,32
Bigg Boss (Hindi TV series) season 18,14
Thalapathy 69,11
Vellore Institute of Technology,11
Vistara,9
Star India,9
Sivakarthikeyan,7
India national cricket team,7
BRICS,7
Sai Pallavi,7
