page_title,users_reverted_past_1_week
Acharya (2022 film),28
Umran Malik,24
K.G.F: Chapter 2,21
Runway 34,21
Lock Upp (Season 1),13
Vadivelu,13
Ghalib,12
Sarkaru Vaari Paata,10
Gangubai Kothewali,10
Quizzing in India,10
