page_title,change_from_last_week
Muhammad Iqbal,3
Rao Inderjit Singh,3
C. Rajagopalachari,2
Hindu Mahasabha,2
Cattle slaughter in India,2
Atishi Marlena,2
Sarvepalli Radhakrishnan,2
Aam Aadmi Party,2
Pratibha Patil,2
Vijay Mallya,2
