page_title,users_reverted_past_1_week
Kunal Kamra,16
MTV Roadies,11
Untitled S. S. Rajamouli film,11
Taarak Mehta Ka Ooltah Chashmah,10
Mehul Choksi,9
2025 Indian Premier League,8
2025 Nagpur violence,7
Kalinga Institute of Industrial Technology,7
Ashish Chaudhary,6
KL Rahul,6
