page_title,users_reverted_past_1_week
RRR (film),29
2022 Indian Premier League,17
S. S. Rajamouli,14
Ram Charan,11
James (2022 film),10
2.0 (film),10
Beast (2022 film),9
Runway 34,8
Ashoka,8
KL Rahul,8
